Tunniste	Laji	Luokka 2019	Eliöryhmä
MX.231366	Dilta hibernica – kivikkosiimahäntä	LC – Elinvoimaiset	Kolmisukahäntäiset, Thysanura
MX.231369	Petrobius brevistylis – rantasiimahäntä	DD – Puutteellisesti tunnetut	Kolmisukahäntäiset, Thysanura
MX.231375	Lepisma saccharina – sokeritoukka	LC – Elinvoimaiset	Kolmisukahäntäiset, Thysanura
MX.231378	Thermobia domestica – uunitoukka	NA – Arviointiin soveltumattomat	Kolmisukahäntäiset, Thysanura
MX.231381	Ctenolepisma lineata	NA – Arviointiin soveltumattomat	Kolmisukahäntäiset, Thysanura
MX.5	Calopteryx splendens – immenkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.6	Calopteryx virgo – neidonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.9	Lestes dryas – isokeijukorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.10	Lestes sponsa – sirokeijukorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.63185	Lestes virens – hentokeijukorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.63187	Sympecma paedisca – idänkirsikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.13	Coenagrion armatum – vihertytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.14	Coenagrion hastulatum – keihästytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.15	Coenagrion johanssoni – taigatytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.16	Coenagrion lunulatum – kuutytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.17	Coenagrion puella – eteläntytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.18	Coenagrion pulchellum – sirotytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.20	Erythromma najas – isotytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.22	Nehalennia speciosa – kääpiötytönkorento	EN – Erittäin uhanalaiset	Sudenkorennot, Odonata
MX.24	Pyrrhosoma nymphula – punatytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.26	Enallagma cyathigerum – okatytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.28	Ischnura elegans – hoikkatytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.29	Ischnura pumilio – keritytönkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.32	Platycnemis pennipes – sulkakoipikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.36	Brachytron pratense – karvaukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.38	Aeshna caerulea – pohjanukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.39	Aeshna crenata – isoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.40	Aeshna cyanea – kirjoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.41	Aeshna grandis – ruskoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.42	Aeshna juncea – siniukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.43	Aeshna serrata – rannikkoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.44	Aeshna subarctica – suoukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.46	Aeshna viridis – viherukonkorento	VU – Vaarantuneet	Sudenkorennot, Odonata
MX.67700	Aeshna mixta – etelänukonkorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.73522	Aeshna affinis – hohtoukonkorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.63181	Anax imperator – keisarikorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.63182	Anax parthenope – sormusukonkorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.73524	Anax ephippiger – kulku-ukonkorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
MX.52	Gomphus vulgatissimus – aitojokikorento	LC – Elinvoimaiset	Sudenkorennot, Odonata
MX.4884002	Stylurus flavipes – idänjokikorento	NA – Arviointiin soveltumattomat	Sudenkorennot, Odonata
