Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
vuoristokellosammakko	Bombina variegata	NA (2019)	MX.200974	vuoristokellosammakko
rupikonna	Bufo bufo	LC (2019)	MX.37626	rupikonna
viherkonna	Bufotes viridis	NA (2010)	MX.321452	viherkonna
viitasammakko	Rana arvalis	LC (2019)	MX.37621	viitasammakko
ruskosammakko	Rana temporaria	LC (2019)	MX.37623	ruskosammakko
ruokasammakko	Pelophylax esculentus	NA (2019)	MX.201015	ruokasammakko
pikkuvihersammakko	Pelophylax lessonae	NA (2019)	MX.201018	pikkuvihersammakko
mölysammakko	Pelophylax ridibundus	NA (2019)	MX.37622	mölysammakko
rupilisko	Triturus cristatus	EN (2019)	MX.37628	rupilisko
alppivesilisko	Ichthyosaura alpestris	NA (2019)	MX.200927	alppivesilisko
vesilisko	Lissotriton vulgaris	LC (2019)	MX.37630	vesilisko
kangaskäärme	Coronella austriaca	VU (2019)	MX.37637	kangaskäärme
rantakäärme	Natrix natrix	LC (2019)	MX.37639	rantakäärme
kyy	Vipera berus	LC (2019)	MX.37641	kyy
vaskitsa	Anguis colchica	LC (2019)	MX.37632	vaskitsa
hietasisilisko	Lacerta agilis	NA (2019)	MX.201133	hietasisilisko
sisilisko	Zootoca vivipara	LC (2019)	MX.37635	sisilisko
kyhmyjoutsen	Cygnus olor	LC (2019)	MX.26277	kyhmyjoutsen
pikkujoutsen	Cygnus columbianus		MX.26282	pikkujoutsen
pikkujoutsen (alalaji bewickii)	Cygnus columbianus bewickii		MX.4971341	pikkujoutsen (alalaji bewickii)
laulujoutsen	Cygnus cygnus	LC (2019)	MX.26280	laulujoutsen
metsähanhiryhmä	Anser fabalis sensu lato	VU (2015)	MX.26287	metsähanhiryhmä
taigametsähanhi	Anser fabalis	VU (2019)	MX.292022	taigametsähanhi
tundrametsähanhi	Anser serrirostris	EN (2019)	MX.292023	tundrametsähanhi
lyhytnokkahanhi	Anser brachyrhynchus		MX.26288	lyhytnokkahanhi
tundrahanhi	Anser albifrons		MX.26289	tundrahanhi
tundrahanhi (alalaji flavirostris)	Anser albifrons flavirostris		MX.4971335	tundrahanhi (alalaji flavirostris)
tundrahanhi (alalaji albifrons)	Anser albifrons albifrons		MX.4971374	tundrahanhi (alalaji albifrons)
kiljuhanhi	Anser erythropus	CR (2019)	MX.26290	kiljuhanhi
merihanhi	Anser anser	LC (2019)	MX.26291	merihanhi
tiibetinhanhi	Anser indicus		MX.26292	tiibetinhanhi
eskimohanhi	Anser rossii		MX.26294	eskimohanhi
kiljuhanhiristeymä	Anser erythropus hybrid		MX.317167	kiljuhanhiristeymä
tundrahanhi × merihanhi	Anser albifrons × anser		MX.5083994	tundrahanhi × merihanhi
tundrahanhi × kiljuhanhi	Anser albifrons × erythropus		MX.5083995	tundrahanhi × kiljuhanhi
metsähanhi × tundrahanhi	Anser fabalis × albifrons		MX.5084003	metsähanhi × tundrahanhi
kanadanhanhi	Branta canadensis	NA (2019)	MX.26298	kanadanhanhi
pikkukanadanhanhi	Branta hutchinsii		MX.232253	pikkukanadanhanhi
pikkukanadanhanhi (alalaji hutchinsii)	Branta hutchinsii hutchinsii		MX.5084053	pikkukanadanhanhi (alalaji hutchinsii)
pikkukanadanhanhi (alalaji minima)	Branta hutchinsii minima		MX.5084054	pikkukanadanhanhi (alalaji minima)
valkoposkihanhi	Branta leucopsis	LC (2019)	MX.26299	valkoposkihanhi
sepelhanhi	Branta bernicla		MX.26300	sepelhanhi
sepelhanhi (alalaji bernicla)	Branta bernicla bernicla		MX.292027	sepelhanhi (alalaji bernicla)
sepelhanhi (alalaji hrota)	Branta bernicla hrota		MX.292028	sepelhanhi (alalaji hrota)
sepelhanhi (alalaji nigricans)	Branta bernicla nigricans		MX.5084050	sepelhanhi (alalaji nigricans)
punakaulahanhi	Branta ruficollis		MX.26301	punakaulahanhi
kanadanhanhi × valkoposkihanhi	Branta canadensis × leucopsis		MX.292026	kanadanhanhi × valkoposkihanhi
valkoposkihanhi × punakaulahanhi	Branta leucopsis × ruficollis		MX.5084055	valkoposkihanhi × punakaulahanhi
merihanhi × kanadanhanhi	Anser anser × Branta canadensis		MX.5083996	merihanhi × kanadanhanhi
merihanhi × valkoposkihanhi	Anser anser × Branta leucopsis		MX.5083997	merihanhi × valkoposkihanhi
lumihanhi × valkoposkihanhi	Anser caerulescens × Branta leucopsis		MX.5083998	lumihanhi × valkoposkihanhi
kiljuhanhi × valkoposkihanhi	Anser erythropus × Branta leucopsis		MX.5083999	kiljuhanhi × valkoposkihanhi
tiibetinhanhi × valkoposkihanhi	Anser indicus × Branta leucopsis		MX.5084000	tiibetinhanhi × valkoposkihanhi
hanhiristeymä	hybrida Anserini		MX.5084204	hanhiristeymä
ruostesorsa	Tadorna ferruginea		MX.26319	ruostesorsa
ristisorsa	Tadorna tadorna	VU (2019)	MX.26323	ristisorsa
mandariinisorsa	Aix galericulata		MX.26348	mandariinisorsa
heinätavi	Spatula querquedula	VU (2019)	MX.26388	heinätavi
sinisiipitavi	Spatula discors		MX.26389	sinisiipitavi
lapasorsa	Spatula clypeata	LC (2019)	MX.26394	lapasorsa
lapasorsa × punatavi	Spatula clypeata × cyanoptera		MX.5083981	lapasorsa × punatavi
sinisiipitavi × lapasorsa	Spatula discors × clypeata		MX.5086945	sinisiipitavi × lapasorsa
siperiantavi	Sibirionetta formosa		MX.26365	siperiantavi
harmaasorsa	Mareca strepera	LC (2019)	MX.26364	harmaasorsa
haapana	Mareca penelope	VU (2019)	MX.26360	haapana
amerikanhaapana	Mareca americana		MX.26361	amerikanhaapana
haapana × amerikanhaapana	Mareca penelope × americana		MX.5083984	haapana × amerikanhaapana
haapana × harmaasorsa	Mareca penelope × strepera		MX.5083987	haapana × harmaasorsa
sinisorsa	Anas platyrhynchos	LC (2019)	MX.26373	sinisorsa
nokisorsa	Anas rubripes		MX.26374	nokisorsa
jouhisorsa	Anas acuta	VU (2019)	MX.26382	jouhisorsa
tavi	Anas crecca	LC (2019)	MX.26366	tavi
amerikantavi	Anas crecca carolinensis	LC (2019)	MX.73540	amerikantavi
sinisorsa × tavi	Anas platyrhynchos × crecca		MX.292024	sinisorsa × tavi
tavi × amerikantavi	Anas crecca crecca × Anas crecca carolinensis		MX.5083983	tavi × amerikantavi
sinisorsa × jouhisorsa	Anas platyrhynchos × acuta		MX.5083988	sinisorsa × jouhisorsa
harmaasorsa × sinisorsa	Anas strepera × platyrhynchos		MX.5083990	harmaasorsa × sinisorsa
haapana × jouhisorsa	Mareca penelope × Anas acuta		MX.5083985	haapana × jouhisorsa
haapana × sinisorsa	Mareca penelope × Anas platyrhynchos		MX.5083986	haapana × sinisorsa
sinisorsa × lapasorsa	Anas platyrhynchos × Spatula clypeata		MX.5083989	sinisorsa × lapasorsa
sorsaristeymä	hybrida Anatini		MX.5084205	sorsaristeymä
punapäänarsku	Netta rufina		MX.26402	punapäänarsku
punasotka	Aythya ferina	CR (2019)	MX.26407	punasotka
amerikantukkasotka	Aythya collaris		MX.26409	amerikantukkasotka
ruskosotka	Aythya nyroca		MX.26412	ruskosotka
tukkasotka	Aythya fuligula	EN (2019)	MX.26415	tukkasotka
lapasotka	Aythya marila	EN (2019)	MX.26416	lapasotka
pikkulapasotka	Aythya affinis		MX.26417	pikkulapasotka
amerikantukkasotka × tukkasotka	Aythya collaris × fuligula		MX.5084047	amerikantukkasotka × tukkasotka
punasotka × tukkasotka	Aythya ferina × fuligula		MX.5084048	punasotka × tukkasotka
tukkasotka × lapasotka	Aythya fuligula × marila		MX.5084049	tukkasotka × lapasotka
sotkaristeymä	hybrida Aythya		MX.5084206	sotkaristeymä
haahka	Somateria mollissima	EN (2019)	MX.26419	haahka
kyhmyhaahka	Somateria spectabilis		MX.26420	kyhmyhaahka
haahka × kyhmyhaahka	Somateria mollissima × Somateria spectabilis		MX.5084186	haahka × kyhmyhaahka
allihaahka	Polysticta stelleri		MX.26423	allihaahka
virta-alli	Histrionicus histrionicus		MX.26425	virta-alli
alli	Clangula hyemalis	NT (2019)	MX.26427	alli
mustalintu	Melanitta nigra	LC (2019)	MX.26429	mustalintu
mustalintu (alalaji nigra)	Melanitta nigra nigra	LC (2019)	MX.5084133	mustalintu (alalaji nigra)
amerikanmustalintu	Melanitta americana		MX.73587	amerikanmustalintu
pilkkaniska	Melanitta perspicillata		MX.26430	pilkkaniska
pilkkasiipi	Melanitta fusca	VU (2019)	MX.26431	pilkkasiipi
pilkkasiipi (alalaji fusca)	Melanitta fusca fusca	VU (2019)	MX.5084131	pilkkasiipi (alalaji fusca)
kyhmypilkkasiipi	Melanitta deglandi sensu lato		MX.73588	kyhmypilkkasiipi
amerikanpilkkasiipi	Melanitta deglandi		MX.5080627	amerikanpilkkasiipi
siperianpilkkasiipi	Melanitta stejnegeri		MX.5080628	siperianpilkkasiipi
